+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                ;
+------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                            ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; u_sdram_pro_top|fifo_ctrl_inst|read_fifo_inst|dcfifo_component|auto_generated|rdempty_eq_comp        ; 22    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_pro_top|fifo_ctrl_inst|read_fifo_inst|dcfifo_component|auto_generated|ws_dgrp|dffpipe8       ; 13    ; 0              ; 0            ; 0              ; 11     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_pro_top|fifo_ctrl_inst|read_fifo_inst|dcfifo_component|auto_generated|ws_dgrp                ; 13    ; 0              ; 0            ; 0              ; 11     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_pro_top|fifo_ctrl_inst|read_fifo_inst|dcfifo_component|auto_generated|ws_bwp                 ; 13    ; 0              ; 0            ; 0              ; 11     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_pro_top|fifo_ctrl_inst|read_fifo_inst|dcfifo_component|auto_generated|ws_brp                 ; 13    ; 0              ; 0            ; 0              ; 11     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_pro_top|fifo_ctrl_inst|read_fifo_inst|dcfifo_component|auto_generated|rs_dgwp|dffpipe5       ; 13    ; 0              ; 0            ; 0              ; 11     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_pro_top|fifo_ctrl_inst|read_fifo_inst|dcfifo_component|auto_generated|rs_dgwp                ; 13    ; 0              ; 0            ; 0              ; 11     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_pro_top|fifo_ctrl_inst|read_fifo_inst|dcfifo_component|auto_generated|rs_bwp                 ; 13    ; 0              ; 0            ; 0              ; 11     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_pro_top|fifo_ctrl_inst|read_fifo_inst|dcfifo_component|auto_generated|rs_brp                 ; 13    ; 0              ; 0            ; 0              ; 11     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_pro_top|fifo_ctrl_inst|read_fifo_inst|dcfifo_component|auto_generated|rdaclr                 ; 3     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_pro_top|fifo_ctrl_inst|read_fifo_inst|dcfifo_component|auto_generated|fifo_ram|altsyncram14  ; 60    ; 17             ; 0            ; 17             ; 16     ; 17              ; 17            ; 17              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_pro_top|fifo_ctrl_inst|read_fifo_inst|dcfifo_component|auto_generated|fifo_ram               ; 42    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_pro_top|fifo_ctrl_inst|read_fifo_inst|dcfifo_component|auto_generated|wrptr_gp               ; 3     ; 0              ; 0            ; 0              ; 11     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_pro_top|fifo_ctrl_inst|read_fifo_inst|dcfifo_component|auto_generated|wrptr_g1p              ; 3     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_pro_top|fifo_ctrl_inst|read_fifo_inst|dcfifo_component|auto_generated|rdptr_g1p              ; 3     ; 0              ; 0            ; 0              ; 11     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_pro_top|fifo_ctrl_inst|read_fifo_inst|dcfifo_component|auto_generated|ws_dgrp_gray2bin       ; 11    ; 0              ; 0            ; 0              ; 11     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_pro_top|fifo_ctrl_inst|read_fifo_inst|dcfifo_component|auto_generated|wrptr_g_gray2bin       ; 11    ; 0              ; 0            ; 0              ; 11     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_pro_top|fifo_ctrl_inst|read_fifo_inst|dcfifo_component|auto_generated|rs_dgwp_gray2bin       ; 11    ; 0              ; 0            ; 0              ; 11     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_pro_top|fifo_ctrl_inst|read_fifo_inst|dcfifo_component|auto_generated|rdptr_g_gray2bin       ; 11    ; 0              ; 0            ; 0              ; 11     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_pro_top|fifo_ctrl_inst|read_fifo_inst|dcfifo_component|auto_generated                        ; 21    ; 0              ; 0            ; 0              ; 38     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_pro_top|fifo_ctrl_inst|read_fifo_inst                                                        ; 21    ; 0              ; 0            ; 0              ; 26     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_pro_top|fifo_ctrl_inst|write_fifo_inst|dcfifo_component|auto_generated|wrfull_eq_comp        ; 22    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_pro_top|fifo_ctrl_inst|write_fifo_inst|dcfifo_component|auto_generated|rdempty_eq_comp       ; 22    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_pro_top|fifo_ctrl_inst|write_fifo_inst|dcfifo_component|auto_generated|ws_dgrp|dffpipe22     ; 13    ; 0              ; 0            ; 0              ; 11     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_pro_top|fifo_ctrl_inst|write_fifo_inst|dcfifo_component|auto_generated|ws_dgrp               ; 13    ; 0              ; 0            ; 0              ; 11     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_pro_top|fifo_ctrl_inst|write_fifo_inst|dcfifo_component|auto_generated|ws_bwp                ; 13    ; 0              ; 0            ; 0              ; 11     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_pro_top|fifo_ctrl_inst|write_fifo_inst|dcfifo_component|auto_generated|ws_brp                ; 13    ; 0              ; 0            ; 0              ; 11     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_pro_top|fifo_ctrl_inst|write_fifo_inst|dcfifo_component|auto_generated|rs_dgwp|dffpipe18     ; 13    ; 0              ; 0            ; 0              ; 11     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_pro_top|fifo_ctrl_inst|write_fifo_inst|dcfifo_component|auto_generated|rs_dgwp               ; 13    ; 0              ; 0            ; 0              ; 11     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_pro_top|fifo_ctrl_inst|write_fifo_inst|dcfifo_component|auto_generated|rs_bwp                ; 13    ; 0              ; 0            ; 0              ; 11     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_pro_top|fifo_ctrl_inst|write_fifo_inst|dcfifo_component|auto_generated|rs_brp                ; 13    ; 0              ; 0            ; 0              ; 11     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_pro_top|fifo_ctrl_inst|write_fifo_inst|dcfifo_component|auto_generated|rdaclr                ; 3     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_pro_top|fifo_ctrl_inst|write_fifo_inst|dcfifo_component|auto_generated|fifo_ram|altsyncram14 ; 60    ; 17             ; 0            ; 17             ; 16     ; 17              ; 17            ; 17              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_pro_top|fifo_ctrl_inst|write_fifo_inst|dcfifo_component|auto_generated|fifo_ram              ; 42    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_pro_top|fifo_ctrl_inst|write_fifo_inst|dcfifo_component|auto_generated|wrptr_gp              ; 3     ; 0              ; 0            ; 0              ; 11     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_pro_top|fifo_ctrl_inst|write_fifo_inst|dcfifo_component|auto_generated|wrptr_g1p             ; 3     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_pro_top|fifo_ctrl_inst|write_fifo_inst|dcfifo_component|auto_generated|rdptr_g1p             ; 3     ; 0              ; 0            ; 0              ; 11     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_pro_top|fifo_ctrl_inst|write_fifo_inst|dcfifo_component|auto_generated|ws_dgrp_gray2bin      ; 11    ; 0              ; 0            ; 0              ; 11     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_pro_top|fifo_ctrl_inst|write_fifo_inst|dcfifo_component|auto_generated|wrptr_g_gray2bin      ; 11    ; 0              ; 0            ; 0              ; 11     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_pro_top|fifo_ctrl_inst|write_fifo_inst|dcfifo_component|auto_generated|rs_dgwp_gray2bin      ; 11    ; 0              ; 0            ; 0              ; 11     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_pro_top|fifo_ctrl_inst|write_fifo_inst|dcfifo_component|auto_generated|rdptr_g_gray2bin      ; 11    ; 0              ; 0            ; 0              ; 11     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_pro_top|fifo_ctrl_inst|write_fifo_inst|dcfifo_component|auto_generated                       ; 21    ; 0              ; 0            ; 0              ; 38     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_pro_top|fifo_ctrl_inst|write_fifo_inst                                                       ; 21    ; 0              ; 0            ; 0              ; 26     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_pro_top|fifo_ctrl_inst                                                                       ; 150   ; 0              ; 2            ; 0              ; 100    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_pro_top                                                                                      ; 129   ; 2              ; 0            ; 2              ; 61     ; 2               ; 2             ; 2               ; 16    ; 0              ; 0            ; 0                ; 0                 ;
+------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
